movie_id,title,tmdb_id,poster_path,overview,vote_average
16,French Twist (Gazon maudit) (1995),4482,/xlLnHizshGBwMiNrnop2kg2nYzE.jpg,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.",6.051
17,From Dusk Till Dawn (1996),755,/uBoQytp3KTQFaVqTe6d0ECGaKh9.jpg,"After kidnapping a father and his two kids, the Gecko brothers head south to a seedy Mexican bar to hide out in safety, unaware of its notorious vampire clientele.",7.03
18,"White Balloon, The (1995)",46785,/u6jrlgZZx3zSFPDPTVOYpueljgH.jpg,Several people try to take advantage of a little girl's innocence to hustle money her mom gave to her to buy a goldfish with.,7.4
19,Antonia's Line (1995),880,/nUCVi6bBIL7LGC61nYaCqikAhIA.jpg,"After World War II, Antonia and her daughter, Danielle, go back to their Dutch hometown, where Antonia's late mother has bestowed a small farm upon her. There, Antonia settles down and joins a tightly-knit but unusual community. Those around her include quirky friend Crooked Finger, would-be suitor Bas and, eventually for Antonia, a granddaughter and great-granddaughter who help create a strong family of empowered women.",6.907
20,Angels and Insects (1995),8447,/w1i5JdddoLuzSmnKo5ORDoKdMm2.jpg,"In Victorian England, wealthy patriarch Sir Harald Alabaster invites an impoverished biologist, William Adamson, into his home. There, William tries to continue his work, but is distracted by Alabaster's seductive daughter, Eugenia. William and Eugenia begin a torrid romance, but as the couple become closer, the young scientist begins to realize that dark, disturbing things are happening behind the closed doors of the Alabaster manor.",6.1
21,Muppet Treasure Island (1996),698609,/ifGLSfxgl08jXFItoxZgviC1QXi.jpg,"Muppet Sing Alongs: Muppet Treasure Island is a 1996 video produced just before the release of the feature film Muppet Treasure Island. Kermit is joined by Polly Lobster, Clueless Morgan, Mad Monty and the other pirates from Muppet Treasure Island in this half hour of pirate songs.",6.0
22,Braveheart (1995),197,/or1gBugydmjToAEq7OZY0owwFk.jpg,"Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule.",7.9
23,Taxi Driver (1976),103,/ekstpH614fwDX8DUln1a2Opz0N8.jpg,"Suffering from insomnia, disturbed loner Travis Bickle takes a job as a New York City cabbie, haunting the streets nightly, growing increasingly detached from reality as he dreams of cleaning up the filthy city.",8.132
24,Rumble in the Bronx (1995),33542,/1nAfchiXHQB3iyhK8fCJJEnNs5A.jpg,"Keong comes from Hong Kong to visit New York for his uncle's wedding. His uncle runs a market in the Bronx and Keong offers to help out while Uncle is on his honeymoon. During his stay in the Bronx, Keong befriends a neighbor kid and beats up some neighborhood thugs who cause problems at the market. One of those petty thugs in the local gang stumbles into a criminal situation way over his head.",6.81
25,"Birdcage, The (1996)",11000,/hU2XeckncHS61TWZKDtw1BrKmOO.jpg,A gay cabaret owner and his drag queen partner agree to put up a false heterosexual front so that their son can introduce them to his fiancée's conservative parents.,7.037
26,"Brothers McMullen, The (1995)",16388,/6oWsOJP0ed5gs8n2UywcailoxFN.jpg,"Deals with the lives of the three Irish Catholic McMullen brothers from Long Island, New York, over three months, as they grapple with basic ideas and values — love, sex, marriage, religion and family — in the 1990s.",5.995
27,Bad Boys (1995),9737,/x1ygBecKHfXX4M2kRhmFKWfWbJc.jpg,"Marcus Burnett is a henpecked family man. Mike Lowrey is a footloose and fancy free ladies' man. Both Miami policemen, they have 72 hours to reclaim a consignment of drugs stolen from under their station's nose. To complicate matters, in order to get the assistance of the sole witness to a murder, they have to pretend to be each other.",6.824
28,Apollo 13 (1995),568,/tVeKscCm2fY1xDXZk8PgnZ87h9S.jpg,"The true story of technical troubles that scuttle the Apollo 13 lunar mission in 1970, risking the lives of astronaut Jim Lovell and his crew, with the failed journey turning into a thrilling saga of heroism. Drifting more than 200,000 miles from Earth, the astronauts work furiously with the ground crew to avert tragedy.",7.5
29,Batman Forever (1995),414,/i0fJS8M5UKoETjjJ0zwUiKaR8tr.jpg,"Batman faces off against two foes: the schizophrenic, horribly scarred former District Attorney Harvey Dent, aka Two-Face, and the Riddler, a disgruntled ex-Wayne Enterprises inventor seeking revenge against his former employer by unleashing his brain-sucking weapon on Gotham City's residents. As the caped crusader also copes with tortured memories of his parents' murder, he has a new romance, with psychologist Chase Meridian.",5.448
30,Belle de jour (1967),649,/iUAFECovwPA0cVV9bo4uNGLJSGL.jpg,"Beautiful young housewife Séverine Serizy cannot reconcile her masochistic fantasies with her everyday life alongside dutiful husband Pierre. When her lovestruck friend Henri mentions a secretive high-class brothel run by Madame Anais, Séverine begins to work there during the day under the name Belle de Jour. But when one of her clients grows possessive, she must try to go back to her normal life.",7.32
31,Crimson Tide (1995),1448556,/iqjxWP0sCqIZ6M4fMpWOh8uUHHC.jpg,"This documentary provides viewers with a behind-the-scenes look at the making of this high-tension thriller about the decisions faced by a submarine crew who think the President may have ordered a missle launch. Includes interviews with stars Washington and Hackman, as well as other members of the cast and crew, who relate their experiences in working on the film.",0.0
32,Crumb (1994),26564,/9ocTHdBCJdwJ65Tubg3lYlfMxEY.jpg,"This movie chronicles the life and times of R. Crumb. Robert Crumb is the cartoonist/artist who drew Keep On Truckin', Fritz the Cat, and played a major pioneering role in the genesis of underground comix. Through interviews with his mother, two brothers, wife, ex-wife and ex-girlfriends, as well as selections from his vast quantity of graphic art, we are treated to a darkly comic ride through one man's subconscious mind.",7.507
33,Desperado (1995),8068,/e3gwpBeXpvGZsxUya9zNym5QXrw.jpg,"El Mariachi plunges headfirst into the dark border underworld when he follows a trail of blood to the last of the infamous Mexican drug lords, Bucho, for an action-packed, bullet-riddled showdown. With the help of his friend and a beautiful bookstore owner, El Mariachi tracks Bucho, takes on his army of desperados, and leaves his own trail of blood.",6.923
34,"Doom Generation, The (1995)",13552,/f2qIJm1bWqTycNUZMVxLBW1tN1w.jpg,"Jordan White and Amy Blue, two troubled teens, pick up an adolescent drifter, Xavier Red. Together, the threesome embarks on a sex- and violence-filled journey through a United States of psychos and quickie marts.",6.5
35,Free Willy 2: The Adventure Home (1995),9073,/3wpug3W5rYBdqeAnhc1UeXLE5ZF.jpg,Jesse becomes reunited with Willy three years after the whale's jump to freedom as the teenager tries to rescue the killer whale and other orcas from an oil spill.,5.927
36,Mad Love (1995),47608,/glhctWoYw1jg8z0FUSwFD4UTNi4.jpg,"Matt falls for Casey, the new girl in school. She's fun-loving and eccentric, but there's a darkness to her whimsy that Matt can't begin to comprehend. When Casey attempts to commit suicide, her parents place her in a mental institution. Matt springs her out, and together the young lovers head on a road trip. They believe their love can ""cure"" Casey's problems. Matt starts to wonder, though, if are they inspired or misguided.",5.168
37,Nadja (1994),34574,/9ioGtd3mWTRkB8zyTG9ilrDqDcU.jpg,"In a contemporary New York City, members of a dysfunctional family of vampires are trying to come to terms with each other, in the wake of their father's death. Meanwhile, they are being hunted by Dr. Van Helsing and his hapless nephew. As in all good vampire movies, forces of love are pitted against forces of destruction.",5.5
38,"Net, The (1995)",83345,/iJn1337MVElQA7LRLEHHoOLBavn.jpg,"Maria suffers from Alzheimer's disease. Luis, Maria's fifteen-year-old grandson, doesn't say very much either; he shuts himself off in his own silent world to escape his parent's marital crisis, spending time instead picking up stray cats and dogs off the street. His father, Miguel, wants to put a stop to this eccentric behavior, but his protective mother Alice indulges him. Nevertheless, the animals begin to appear at home in increasing numbers, making life complicated for the family in their flat.",5.235
39,Strange Days (1995),281,/rY5BrDRcYAKE0BYmmT66YG6Uy5Q.jpg,"Former policeman Lenny Nero has moved into a more lucrative trade: the illegal sale of virtual reality-like recordings that allow users to experience the emotions and past experiences of others. While they typically contain tawdry incidents, Nero is shocked when he receives one showing a murder.",7.002
40,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",9090,/xlRhO3TzTxCFn2s9LEcVi7s582t.jpg,"Manhattan drag queens Vida Boheme and Noxeema Jackson impress regional judges in competition, securing berths in the Nationals in Los Angeles. When the two meet pathetic drag novice Chi-Chi Rodriguez — one of the losers that evening — the charmed Vida and Noxeema agree to take the hopeless youngster under their joined wing. Soon the three set off on a madcap road trip across America and struggle to make it to Los Angeles in time.",7.37
41,Billy Madison (1995),11017,/sOdgtJdFalL9kRKaeJItARLTAEq.jpg,"Billy Madison is the 27 year-old son of Bryan Madison, a very rich man who has made his living in the hotel industry. Billy stands to inherit his father's empire, but only if he can make it through all 12 grades, 2 weeks per grade, to prove that he has what it takes to run the family business.",6.184
42,Clerks (1994),2292,/9IiSgiq4h4siTIS9H3o4nZ3h5L9.jpg,"Convenience and video store clerks Dante and Randal are sharp-witted, potty-mouthed and bored out of their minds. So in between needling customers, the counter jockeys play hockey on the roof, visit a funeral home and deal with their love lives.",7.383
43,Disclosure (1994),8984,/dnA4QkIZZCF9wRtF8HHxWwUXVMf.jpg,"A computer specialist is sued for sexual harassment by a former lover turned boss who initiated the act forcefully, which threatens both his career and his personal life.",6.256
44,Dolores Claiborne (1994),11929,/iQuwx3UAyXbE9tzdM3jLqtbogc4.jpg,"Dolores Claiborne was accused of killing her abusive husband twenty years ago, but the court's findings were inconclusive and she was allowed to walk free. Now she has been accused of killing her employer, Vera Donovan, and this time there is a witness who can place her at the scene of the crime. Things look bad for Dolores when her daughter Selena, a successful Manhattan magazine writer, returns to cover the story.",7.3
45,Eat Drink Man Woman (1994),10451,/ktdCBg2Xq2Ry0fuJYT4izktM2Hg.jpg,"Retired and widowed Chinese master chef Chu lives in modern day Taipei, with his three attractive daughters, all of whom are unattached. Soon, each daughter encounters a new man in their lives. When these new relationships blossom, stereotypes are broken and the living situation within the family changes.",7.6
46,Exotica (1994),20156,/pWcJdcIHjL3P6NaEJKeV6ONfAMV.jpg,"In the upscale Toronto strip club Exotica, dancer Christina is visited nightly by the obsessive Francis, a depressed tax auditor. Her ex-boyfriend, the club's MC, Eric, still jealously pines for her even as he introduces her onstage, but Eric is having his own relationship problems with the club's female owner. Thomas, a mysterious pet-shop owner, is about to become unexpectedly involved in their lives.",6.6
47,Ed Wood (1994),522,/2jjFN4BtTSz01J3ZD4iYjf26pWX.jpg,"The mostly true story of the legendary ""worst director of all time"", who, with the help of his strange friends, filmed countless B-movies without ever becoming famous or successful.",7.482
48,Hoop Dreams (1994),14275,/gLzHl2XBtVwycl8DxdOXRHPm8G3.jpg,"Every school day, African-American teenagers William Gates and Arthur Agee travel 90 minutes each way from inner-city Chicago to St. Joseph High School in Westchester, Illinois, a predominately white suburban school well-known for the excellence of its basketball program. Gates and Agee dream of NBA stardom, and with the support of their close-knit families, they battle the social and physical obstacles that stand in their way. This acclaimed documentary was shot over the course of five years.",7.601
49,I.Q. (1994),11777,/1dLR9LX4O8DSyaU5OR3N0472IR.jpg,Albert Einstein helps a young man who's in love with Einstein's niece to catch her attention by pretending temporarily to be a great physicist.,6.018
50,Star Wars (1977),11,/6FfCtAuVAW8XJjZ7eWeLibRLWTw.jpg,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,8.204
51,Legends of the Fall (1994),4476,/t1KPGlW0UGd0m515LPQmk2F4nu1.jpg,"In early 20th-century Montana, Col. William Ludlow lives on a ranch in the wilderness with his sons, Alfred, Tristan, and Samuel. Eventually, the unconventional but close-knit family are bound by loyalty, tested by war, and torn apart by love, as told over the course of several decades in this epic saga.",7.383
52,"Madness of King George, The (1994)",11318,/1dTSY023ZyBbgVSKDRuA6JLGSnZ.jpg,"Aging King George III of England is exhibiting signs of madness, a problem little understood in 1788. As the monarch alternates between bouts of confusion and near-violent outbursts of temper, his hapless doctors attempt the ineffectual cures of the day. Meanwhile, Queen Charlotte and Prime Minister William Pitt the Younger attempt to prevent the king's political enemies, led by the Prince of Wales, from usurping the throne.",6.773
53,Natural Born Killers (1994),241,/fEKZwT91gxvkAoyPgpNXo8W5fu0.jpg,Two victims of traumatized childhoods become lovers and serial murderers irresponsibly glorified by the mass media.,7.052
54,Outbreak (1995),6950,/4KymNvlWR0XF0sqX2BWRd9Z3yXR.jpg,"A deadly airborne virus finds its way into the USA and starts killing off people at an epidemic rate. Col. Sam Daniels' job is to stop the virus spreading from a small town, which must be quarantined, and to prevent an over reaction by the White House.",6.564
55,"Professional, The (1994)",101,/bxB2q91nKYp8JNzqE7t7TWBVupB.jpg,"Léon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Léon's footsteps.",8.3
56,Pulp Fiction (1994),680,/vQWk5YBFWF4bZaofAbv0tShwBvQ.jpg,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",8.488
57,Priest (1994),38321,/fYHiA7LPGl9DG7m3DUs0Td1VMcO.jpg,"In an alternate world, humanity and vampires have warred for centuries. After the last Vampire War, the veteran Warrior Priest lives in obscurity with other humans inside one of the Church's walled cities. When the Priest's niece is kidnapped by vampires, the Priest breaks his vows to hunt them down. He is accompanied by the niece's boyfriend, who is a wasteland sheriff, and a former Warrior Priestess.",5.8
58,Quiz Show (1994),11450,/yoGJo1h3Hl2exXPVcG9UXWDENtX.jpg,"Herbert Stempel's transformation into an unexpected television personality unfolds as he secures victory on the cherished American game show, 'Twenty-One.' However, when the show introduces the highly skilled contestant Charles Van Doren to replace Stempel, it compels Stempel to let out his frustrations and call out the show as rigged. Lawyer Richard Goodwin steps in and attempts to uncover the orchestrated deception behind the scenes.",7.264
59,Three Colors: Red (1994),110,/JHmsBiX1tjCKqAul1lzC20WcAW.jpg,"Part-time model Valentine unexpectedly befriends a retired judge after she runs over his dog. At first, the grumpy man shows no concern about the dog, and Valentine decides to keep it. But the two form a bond when she returns to his house and catches him listening to his neighbors’ phone calls.",7.909
60,Three Colors: Blue (1993),108,/33wsWxzsNstI8N7dvuwzFmj1qBd.jpg,"The wife of a famous composer survives a car accident that kills her husband and daughter. Now alone, she shakes off her old identity and explores her newfound freedom but finds that she is unbreakably bound to other humans, including her husband’s mistress, whose existence she never suspected.",7.642
61,Three Colors: White (1994),109,/fdIet3NSa27gobMbaUml66oCQNT.jpg,"Polish immigrant Karol Karol finds himself out of a marriage, a job and a country when his French wife, Dominique, divorces him after six months due to his impotence. Forced to leave France after losing the business they jointly owned, Karol enlists fellow Polish expatriate Mikołaj to smuggle him back to their homeland.",7.443
62,Stargate (1994),2164,/4T6Po0XnZlevmhfPh3ZfEs5butR.jpg,"An interstellar teleportation device, found in Egypt, leads to a planet with humans resembling ancient Egyptians who worship the god Ra.",7.012
63,"Santa Clause, The (1994)",11395,/hvV2rI60qOYELT7tHHLpxtafnBZ.jpg,"On Christmas Eve, divorced dad Scott Calvin and his son discover Santa Claus has fallen off their roof. When Scott takes the reins of the magical sleigh, he finds he is now the new Santa, and must convince a world of disbelievers, including himself.",6.507
64,"Shawshank Redemption, The (1994)",278,/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",8.712
65,What's Eating Gilbert Grape (1993),1587,/8r9yts6XHbB1xNLaPC6ExNAK1Qu.jpg,"Gilbert Grape is a small-town young man with a lot of responsibility. Chief among his concerns are his mother, who is so overweight that she can't leave the house, and his mentally impaired younger brother, Arnie, who has a knack for finding trouble. Settled into a job at a grocery store and an ongoing affair with local woman Betty Carver, Gilbert finally has his life shaken up by the free-spirited Becky.",7.661
66,While You Were Sleeping (1995),2064,/qNGO3ETcNwlWqK2kNRpbJSJRlos.jpg,"A transit worker pulls commuter Peter off railway tracks after he's mugged, but—while he's in a coma—his family mistakenly thinks she's Peter's fiancée, and she doesn't correct them. Things get more complicated when she falls for his brother, who's not quite sure that she's who she claims to be.",7.017
67,Ace Ventura: Pet Detective (1994),3049,/pqiRuETmuSybfnVZ7qyeoXhQyN1.jpg,"He's Ace Ventura: Pet Detective. Jim Carrey is on the case to find the Miami Dolphins' missing mascot and quarterback Dan Marino. He goes eyeball to eyeball with a man-eating shark, stakes out the Miami Dolphins and woos and wows the ladies. Whether he's undercover, under fire or underwater, he always gets his man… or beast!",6.568
68,"Crow, The (1994)",1025301,/r3ihlqeaKYc0eydKbDq6NblTwLY.jpg,,6.8
69,Forrest Gump (1994),13,/saHP97rTPS5eLmrLQEcANmKrsFl.jpg,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",8.463
70,Four Weddings and a Funeral (1994),712,/qa72G2VS0bpxms6yo0tI9vsHm2e.jpg,"Over the course of five social occasions, a committed bachelor must consider the notion that he may have discovered love.",6.771
71,"Lion King, The (1994)",762509,/lurEK87kukWNaHd0zYnsi3yzJrs.jpg,"Mufasa, a cub lost and alone, meets a sympathetic lion named Taka, the heir to a royal bloodline. The chance meeting sets in motion an expansive journey of a group of misfits searching for their destiny.",7.352
72,"Mask, The (1994)",854,/jPC2eYub74zwf2tPGVtzSlBW6Oy.jpg,Bank clerk Stanley Ipkiss is transformed into a manic superhero when he wears a mysterious mask.,6.974
73,Maverick (1994),9359,/mTVbGGi5PIexmxVzeyFd2RYKwfM.jpg,"Bret Maverick is a gambler who would rather con someone than fight them, and needs an additional $3k in order to enter a winner-takes-all poker game beginning in a few days. He joins forces with a woman with a marvelous Southern accent, and the two try and enter the game.",6.885
74,Faster Pussycat! Kill! Kill! (1965),315,/2hIHFk52SZ9XsZB4U85RUq36BT4.jpg,"A trio of thrill-seeking go-go dancers kidnap a young girl and attempt to seduce an old rancher and his two sons out of their small fortune, but their scheme doesn't play out as intended.",6.337
75,Brother Minister: The Assassination of Malcolm X (1994),316098,,"Brother Minister reveals the mystery surrounding the assassination of Malcolm X at the Audubon Ballroom in New York City on February 21, 1965. It probes the innocence of two of the ...",3.0
76,Carlito's Way (1993),6075,/g6D7mjQtndu768cusGmoEQY9fTB.jpg,"Free after years in prison, Carlito Brigante intends to give up his criminal ways, but it's not long before the ex-con is sucked back into the New York City underworld. Reconnecting with his dancer girlfriend, Carlito gets entangled in the shady dealings of his friend Dave Kleinfeld, who also serves as his lawyer. An encounter with shifty gangster Benny Blanco sets the duo on a dangerous path.",7.828
77,"Firm, The (1993)",389617,/lxu3Zis4z4UhqXW2t8UGAZMmojl.jpg,"Remake of a silent Lubitsch: A country girl right out of high school graduates to a place in her aunt's Leipzig garment business, then to a more glamorous such store in Berlin, and finally into a palace.",0.0
78,Free Willy (1993),1634,/9iBgd9gi9ztWiVcYSG6zl8wDFBN.jpg,"When maladjusted orphan Jesse vandalizes a theme park, he is placed with foster parents and must work at the park to make amends. There he meets Willy, a young Orca whale who has been separated from his family. Sensing kinship, they form a bond and, with the help of kindly whale trainer Rae Lindley, develop a routine of tricks. However, greedy park owner Dial soon catches wind of the duo and makes plans to profit from them.",6.181
79,"Fugitive, The (1993)",387401,/eayCY8MRCOzo4cMjOdJ88NHbCbA.jpg,"WWII - Slovenia under Italian fascist occupation. Two friends separated by a woman they both loved, and then by war as well: one of them joins partisans, the other Italian occupying forces.",5.0
80,Hot Shots! Part Deux (1993),9255,/zh9EGK970GHo10ETclWBOjZVUOK.jpg,"Topper Harley is found to be working as an odd-job-man in a monastery. The CIA want him to lead a rescue mission into Iraq, to rescue the last rescue team, who went in to rescue the last rescue team—who went in to rescue hostages left behind after Desert Storm.",6.542
81,"Hudsucker Proxy, The (1994)",11934,/bp5Kg9iT9oSXsECgDkNJVqvIrxX.jpg,A naive business graduate is installed as president of a manufacturing company as part of a stock scam.,7.067
82,Jurassic Park (1993),329,/bRKmwU9eXZI5dKT11Zx1KsayiLW.jpg,"A wealthy entrepreneur secretly creates a theme park featuring living dinosaurs drawn from prehistoric DNA. Before opening day, he invites a team of experts and his two eager grandchildren to experience the park and help calm anxious investors. However, the park is anything but amusing as the security systems go off-line and the dinosaurs escape.",7.963
83,Much Ado About Nothing (1993),281442,/rhwHLiLkOQFeGwxbM4Vg72tOykv.jpg,"Young lovers Hero and Claudio, soon to wed, conspire to get verbal sparring partners and confirmed singles Benedick and Beatrice to wed as well.",6.0
84,Robert A. Heinlein's The Puppet Masters (1994),25557,/8xJGom6fUqmVhJ7EWprZEHygUis.jpg,The Earth is invaded by alien parasites—AKA 'slugs'—that ride on people's backs and control their minds.,5.75
85,"Ref, The (1994)",10872,/ym7Kx3iDmalK8kXKvVQwnFYABEV.jpg,"A cat burglar is forced to take a bickering, dysfunctional family hostage on Christmas Eve.",6.535
86,"Remains of the Day, The (1993)",1245,/uDGDtqSvuch324WnM7Ukdp1bCAQ.jpg,A rule-bound head butler's world of manners and decorum in the household he maintains is tested by the arrival of a housekeeper who falls in love with him in post-WWI Britain. The possibility of romance and his master's cultivation of ties with the Nazi cause challenge his carefully maintained veneer of servitude.,7.362
87,Searching for Bobby Fischer (1993),14291,/oAJpHkMpfXiFY9F3HocIz9fhHLc.jpg,A seven-year-old chess prodigy refuses to harden himself in order to become a champion like the famous but unlikable Bobby Fischer.,7.075
88,Sleepless in Seattle (1993),858,/jAXfku1u1uaLGh4cUmK0ESf1pPu.jpg,"After the death of his mother, a young boy calls a radio station in an attempt to set his father up on a date. Talking about his father’s loneliness soon leads to a meeting with a young female journalist, who has flown to Seattle to write a story about the boy and his father.",6.741
89,Blade Runner (1982),78,/63N9uy8nd9j7Eog2axPQ8lbr3Wj.jpg,"In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.",7.9
90,So I Married an Axe Murderer (1993),10442,/nBvz8zE0uxMSQXWhMlyBoreDFiW.jpg,"Just after a bad breakup, Charlie MacKenzie falls for lovely butcher Harriet Michaels and introduces her to his parents. But, as voracious consumers of sensational tabloids, his parents soon come to suspect that Harriet is actually a notorious serial killer -- ""Mrs. X"" -- wanted in connection with a string of bizarre honeymoon killings. Thinking his parents foolish, Charlie proposes to Harriet. But while on his honeymoon with her, he begins to fear they were right.",6.095
91,"Nightmare Before Christmas, The (1993)",9479,/oQffRNjK8e19rF7xVYEN8ew0j7b.jpg,"Tired of scaring humans every October 31 with the same old bag of tricks, Jack Skellington, the spindly king of Halloween Town, kidnaps Santa Claus and plans to deliver shrunken heads and other ghoulish gifts to children on Christmas morning. But as Christmas approaches, Jack's rag-doll girlfriend, Sally, tries to foil his misguided plans.",7.835
92,True Romance (1993),319,/39lXk6ud6KiJgGbbWI2PUKS7y2.jpg,"Clarence marries hooker Alabama, steals cocaine from her pimp, and tries to sell it in Hollywood, while the owners of the coke try to reclaim it.",7.542
